"loss_pre : 0.2034921497106552, loss_aft : 0.13103990256786346, dif : -0.07245224714279175"
0.1330036,-0.38116366,0.581889,0.13530879
0.11849026,-0.3013558,0.3075859,0.103806406
0.290129,-0.40656206,0.1404568,-0.11032123
0.29143983,-0.24730168,0.06459704,0.10813016
0.2714179,-0.69298947,0.12530501,-0.12200284
0.19841483,-0.6377044,0.5340921,0.072811216
0.066278316,-0.40519142,0.24291727,0.14259076
0.047338065,-0.22408113,0.15535116,0.15051608
0.3109668,-0.5866709,0.18747364,-0.081083514
-6.3577795,-9.483489,-4.0140343,-4.2298527
1.4656947,-0.7952228,-5.137357,-6.581044
2.4792397,-5.7915874,-3.5069122,-2.6409256
-1.3723148,-0.6548407,-2.1993477,-6.340201
0.31355795,3.358016,-2.5330467,-4.8993993
-0.79943156,7.00882,3.255691,-3.7347164
2.762118,9.382151,-8.890573,-2.1541955
3.3254805,8.58214,-4.35327,-4.290699
-4.1358485,-8.01728,-7.887707,-4.2413087
0.2975274,-0.5833432,0.27997595,0.11444411
-10.326926,2.3134885,-3.265769,1.0476327
5.1479454,-8.128129,-8.70632,0.4636471
-4.6946373,7.3555317,-1.740871,0.95459783
2.2373435,-6.601175,-1.9060695,-2.2414584
-6.174134,5.231364,0.055747837,2.3330393
0.7190262,-7.947389,-6.582704,0.27870557
1.0096389,-1.2704961,-11.827304,0.4324914
0.13086125,-0.26427233,0.28589988,0.09047391
0.28285345,-0.38603762,0.20882344,-0.06604959
9.961078,-3.0737908,-6.717017,-1.1604849
0.037868753,-0.51051134,0.061648514,-0.00092297886
-9.585809,1.0744538,-8.779685,1.6499859
0.21903819,-0.34533894,0.24468105,0.13173623
-9.084448,2.7781339,-7.6320744,1.9745075
0.044150412,-0.45463294,0.16127288,0.15037414
-9.15769,7.332794,-6.418382,3.174407
0.14523876,-0.22031009,0.20480053,0.068325944
0.2827013,-0.793377,0.112045884,-0.04520038
-8.19736,1.127897,-2.330912,-2.0139835
0.1907466,-0.5408396,0.10621042,-0.05438032
-9.438586,1.8812318,-7.520415,-0.90130275
0.11033646,-0.28943932,0.5176188,0.07717131
-8.143143,3.062029,-8.317854,0.1903501
0.15631631,-0.8289084,0.5854957,0.13300566
-8.9967985,1.811728,-6.9572883,0.357311
0.11579833,-0.42704695,0.085722394,-0.011107847
0.31911054,-0.6141421,0.3172057,-0.10771776
-8.476445,6.756343,-6.6158147,2.133288
0.29834533,-0.47490743,0.5636114,0.11554919
-10.057685,-0.63796186,-7.045858,1.3056381
0.35627627,-0.4554017,0.2936561,0.12076849
-8.918043,2.8733525,-8.722954,1.3236359
0.28029597,-0.67021406,0.22990142,0.11403274
-7.223439,2.801852,-5.2904882,0.9341467
0.18451719,-0.39554292,0.14484404,0.07527268
-7.204067,4.6488824,-3.0031397,-1.3276573
1.0671889,2.2881765,-11.358726,1.7534043
0.26334623,-0.25738218,0.35216162,0.09558233
-10.036659,1.6545675,-8.466102,1.6515644
0.35268083,-0.58655053,0.3363559,0.13870895
-8.095277,3.9486032,-10.043721,0.79170936
0.23435351,-0.4351399,0.15882775,-0.04350683
-5.8075156,13.349971,0.7653823,-0.069704995
-1.9974904,-1.1769627,-10.452797,-3.3569803
-9.092805,-1.3041238,2.487836,1.0435624
0.5865277,-0.15129322,-0.8602684,0.7841562
1.2786139,0.3472565,-2.7260067,-4.669224
-1.7147436,0.5690732,-2.0065026,0.94109225
2.0343697,1.9605379,-9.163804,-5.419763
1.7440003,0.09629462,0.5144791,-0.42645127
-0.23767783,2.3053365,-2.5344248,-4.649132
0.13029999,-1.8819654,-3.9664097,0.67248976
0.37698013,-0.5672562,-12.156049,-3.8162842
-8.89115,-9.425962,-2.087146,1.3272499
4.6556625,-10.030578,-5.559815,1.948747
-2.121828,-11.287109,-4.280329,1.0866865
2.009087,-11.63711,-3.2198617,-2.2195332
0.14505139,-11.02237,-2.6274185,0.07906266
1.6903365,-9.810182,-4.126316,-0.3985666
2.4773245,-9.24508,-3.2947173,1.118934
5.452282,-10.979057,-6.1983857,0.65838647
-0.18536395,-7.5730677,-14.893993,-1.0722313
0.21558583,-0.40111688,0.17288153,0.013125307
0.15603575,-0.6221997,0.32177833,-0.041025594
0.13718043,-0.8184372,0.104525305,0.07315079
0.10294156,-0.44915637,0.19803011,0.09669907
4.004739,-2.8256192,4.259901,2.6925776
0.38255998,-0.58566076,0.18756036,0.028942298
0.3340481,-0.727909,0.3156668,-0.0052922363
0.27368847,-0.13661103,0.1761596,0.09019122
0.25731203,-0.503135,0.01796911,0.118732035
