"idx_epoch : 0, loss_pre : 0.5221974849700928, loss_aft : 0.5095824003219604, dif : -0.012615084648132324"
63,0,-10,62,True
74,0,0,73,False
54,0,-10,53,True
68,2,0,69,False
75,3,0,66,False
85,3,0,76,False
76,3,0,67,False
76,3,0,67,False
76,3,0,67,False
85,3,0,76,False
66,0,0,65,False
75,1,-10,84,True
77,0,0,76,False
63,3,0,54,False
70,1,0,79,False
76,3,0,67,False
75,1,-10,84,True
66,0,0,65,False
66,1,0,75,False
64,3,0,55,False
73,3,0,64,False
66,1,0,75,False
67,2,0,68,False
52,1,0,61,False
85,2,-10,86,True
85,0,-10,84,True
73,2,0,74,False
74,0,0,73,False
66,2,0,67,False
67,0,0,66,False
85,3,0,76,False
85,3,0,76,False
79,0,0,78,False
76,3,0,67,False
54,2,0,55,False
76,0,0,75,False
69,2,0,70,False
75,0,0,74,False
32,3,0,23,False
66,3,0,57,False
77,0,0,76,False
69,2,0,70,False
73,0,0,72,False
23,1,0,32,False
77,2,0,78,False
77,0,0,76,False
74,2,0,75,False
66,3,0,57,False
54,1,0,63,False
63,3,0,54,False
78,0,0,77,False
85,2,-10,86,True
68,3,0,59,False
63,3,0,54,False
76,0,0,75,False
76,3,0,67,False
64,0,0,63,False
64,0,0,63,False
66,0,0,65,False
76,2,0,77,False
69,2,0,70,False
67,2,0,68,False
77,2,0,78,False
59,3,0,50,False
67,3,-10,58,True
70,1,0,79,False
63,3,0,54,False
59,1,0,68,False
77,3,0,68,False
63,3,0,54,False
75,0,0,74,False
69,2,0,70,False
64,0,0,63,False
54,1,0,63,False
68,3,0,59,False
77,2,0,78,False
65,2,0,66,False
66,0,0,65,False
75,0,0,74,False
63,3,0,54,False
73,3,0,64,False
63,2,0,64,False
68,2,0,69,False
66,0,0,65,False
57,0,-10,56,True
77,0,0,76,False
79,0,0,78,False
65,2,0,66,False
85,0,-10,84,True
79,0,0,78,False
85,3,0,76,False

"idx_epoch : 1, loss_pre : 1.739076852798462, loss_aft : 1.412986397743225, dif : -0.3260904550552368"
73,2,0,74,False
67,2,0,68,False
76,0,0,75,False
85,3,0,76,False
67,3,-10,58,True
78,0,0,77,False
67,1,0,76,False
67,2,0,68,False
76,3,0,67,False
75,3,0,66,False
77,2,0,78,False
57,0,-10,56,True
66,3,0,57,False
74,1,-10,83,True
54,2,0,55,False
67,2,0,68,False
76,0,0,75,False
77,0,0,76,False
76,2,0,77,False
63,3,0,54,False
85,3,0,76,False
66,1,0,75,False
66,2,0,67,False
76,1,-10,85,True
77,0,0,76,False
67,2,0,68,False
66,1,0,75,False
67,2,0,68,False
75,0,0,74,False
57,1,0,66,False
76,3,0,67,False
75,1,-10,84,True
64,0,0,63,False
78,0,0,77,False
67,1,0,76,False
66,1,0,75,False
63,3,0,54,False
63,3,0,54,False
63,3,0,54,False
77,2,0,78,False
66,0,0,65,False
75,0,0,74,False
69,2,0,70,False
77,0,0,76,False
74,0,0,73,False
55,1,0,64,False
75,1,-10,84,True
78,0,0,77,False
76,2,0,77,False
74,0,0,73,False
76,1,-10,85,True
77,3,0,68,False
70,1,0,79,False
57,1,0,66,False
69,2,0,70,False
69,2,0,70,False
64,0,0,63,False
67,1,0,76,False
67,0,0,66,False
66,3,0,57,False
66,3,0,57,False
79,0,0,78,False
63,3,0,54,False
85,0,-10,84,True
78,0,0,77,False
75,1,-10,84,True
85,3,0,76,False
78,0,0,77,False
74,2,0,75,False
78,0,0,77,False
69,2,0,70,False
54,0,-10,53,True
85,3,0,76,False
54,0,-10,53,True
74,0,0,73,False
76,0,0,75,False
85,3,0,76,False
76,3,0,67,False
73,2,0,74,False
85,0,-10,84,True
74,0,0,73,False
66,3,0,57,False
85,3,0,76,False
76,1,-10,85,True
85,3,0,76,False
37,2,-10,38,True
41,0,-10,40,True
76,2,0,77,False
79,0,0,78,False
76,3,0,67,False
75,1,-10,84,True

"idx_epoch : 2, loss_pre : 1.4029555320739746, loss_aft : 0.9880644083023071, dif : -0.4148911237716675"
85,3,0,76,False
85,2,-10,86,True
65,2,0,66,False
85,3,0,76,False
85,3,0,76,False
76,1,-10,85,True
78,1,-10,87,True
70,1,0,79,False
32,3,0,23,False
67,3,-10,58,True
74,0,0,73,False
85,3,0,76,False
70,1,0,79,False
85,3,0,76,False
65,2,0,66,False
77,0,0,76,False
68,3,0,59,False
77,2,0,78,False
77,0,0,76,False
65,2,0,66,False
54,1,0,63,False
78,0,0,77,False
57,1,0,66,False
85,3,0,76,False
66,3,0,57,False
67,1,0,76,False
85,3,0,76,False
76,3,0,67,False
64,0,0,63,False
65,2,0,66,False
73,3,0,64,False
76,1,-10,85,True
67,1,0,76,False
78,1,-10,87,True
76,3,0,67,False
76,1,-10,85,True
76,3,0,67,False
76,0,0,75,False
54,1,0,63,False
70,1,0,79,False
76,3,0,67,False
67,2,0,68,False
55,3,0,46,False
37,2,-10,38,True
67,0,0,66,False
85,2,-10,86,True
85,3,0,76,False
76,3,0,67,False
74,3,0,65,False
77,0,0,76,False
48,1,0,57,False
78,0,0,77,False
67,1,0,76,False
66,3,0,57,False
67,0,0,66,False
64,0,0,63,False
69,2,0,70,False
63,3,0,54,False
67,0,0,66,False
77,0,0,76,False
77,2,0,78,False
85,3,0,76,False
78,0,0,77,False
79,0,0,78,False
67,1,0,76,False
85,3,0,76,False
66,0,0,65,False
76,2,0,77,False
67,2,0,68,False
85,3,0,76,False
77,0,0,76,False
66,1,0,75,False
54,1,0,63,False
64,0,0,63,False
75,3,0,66,False
74,0,0,73,False
70,1,0,79,False
