"loss_pre : 675.50927734375, loss_aft : 166.07806396484375, dif : -509.43121337890625"
8.209727,24.353888,10.60533,21.650694
9.838732,27.745373,10.4571085,16.686462
8.391447,23.784622,9.429668,16.543518
7.27886,20.611269,9.764352,20.960855
7.587747,21.212519,9.132098,17.687202
8.488109,23.526447,9.969363,18.83894
8.960404,25.720303,11.182481,21.750896
6.532784,19.272793,8.420049,17.220499
7.3468223,20.51474,8.252738,14.940656
6.3085036,18.793228,9.205429,21.378248
7.5514035,21.950989,9.786278,19.946255
14.374067,8.841752,-0.715506,-37.826157
22.411222,80.85161,20.033392,13.068132
6.487533,18.921951,9.617452,23.123753
9.201401,25.444359,10.003851,17.084167
8.136203,22.76852,9.903695,19.599133
8.665132,23.862482,8.981545,13.379282
10.777318,31.221281,11.559035,18.32325
7.069005,20.39752,9.183663,20.091576
6.399117,18.032743,8.638646,18.893127
-18.425713,-50.541573,-23.272635,-33.66826
6.9553466,1.0713234,-4.019843,-47.513874
8.634491,23.320183,8.169381,12.06763
11.459417,32.01883,9.810605,11.728557
10.007166,28.190914,10.633691,17.95102
9.140751,25.752974,9.668369,16.328732
8.226242,23.733953,11.159694,23.866405
7.0797234,20.452826,8.467583,16.110262
23.47794,36.699512,3.7423818,-21.552378
11.635022,32.802727,11.377889,16.248333
6.2602754,-0.16360188,-4.342253,-48.521095
9.455575,26.536667,10.735617,19.017704
19.801605,18.607952,1.6516314,-29.749823
8.339644,24.142958,9.8860035,19.574924
9.439474,26.543306,8.793089,12.608305
8.956241,25.82337,10.282266,18.36046
9.235085,25.256943,9.246695,14.976935
-20.941313,-22.519703,-2.194799,27.645588
10.622871,30.495382,11.280293,18.472355
-23.402943,-89.45803,-12.934608,1.0924356
10.4731245,29.735134,10.66789,16.364204
-1.4055685,-11.859583,-10.753227,-48.62257
6.623072,18.746248,8.07796,17.116371
8.501004,23.329891,8.929196,15.321082
6.2000523,18.074984,7.8802986,15.784302
8.658165,24.23388,8.881422,14.213974
-24.394997,-51.346973,-5.7723374,15.748692
8.310528,23.225815,9.404783,16.635326
-18.592587,-51.41859,-23.26808,-33.10387
8.965993,24.662428,10.075521,17.476992
-17.970795,-48.784588,-23.078903,-34.702198
9.066963,25.286633,9.187119,13.639062
-21.563887,-73.912025,-21.085434,-17.76013
8.761266,24.401777,9.406273,16.322384
-18.384724,-50.302597,-23.262102,-33.839783
-23.042135,-33.53411,-3.4007044,22.855333
5.726361,16.295397,8.690081,21.830814
-19.307003,-56.313404,-22.957815,-29.90529
8.312326,23.75134,9.546638,18.089369
-18.39817,-50.35932,-23.279005,-33.793804
6.0908384,17.002121,8.128633,16.916063
-20.858215,-22.207222,-2.1521068,27.810957
-15.440828,-38.775856,-21.648651,-41.003345
-17.118328,-45.243256,-22.547905,-37.042725
-19.917969,-19.766373,-1.7131747,28.855701
4.4454184,-2.7463803,-5.870721,-49.047935
-4.0514154,-12.172861,-2.8920002,-2.538887
4.439429,-2.735299,-5.879658,-49.084656
-1.9694434,-4.429393,0.19551654,5.107264
6.2303524,-0.25012636,-4.3526897,-48.58752
-17.023178,-13.694316,-0.4827922,33.741737
-18.547993,-51.081333,-23.300316,-33.344395
-23.389212,-92.90335,-16.495813,-5.2159014
-23.567535,-79.18382,-10.853762,5.0347934
-23.426737,-94.82523,-13.944288,-0.87427187
-23.432926,-96.38308,-14.381096,-1.6471815
-23.432947,-96.375404,-14.399333,-1.6691585
-23.433584,-96.67415,-14.573756,-1.9857874
-23.422728,-94.605804,-13.890872,-0.77442753
-23.537233,-79.57905,-10.919181,4.869484
-19.93552,-60.971134,-22.467789,-26.576006
8.36899,24.171867,8.887847,14.445272
8.638894,23.94542,8.479823,13.004516
9.183604,25.846836,9.262137,14.350783
7.135624,19.828135,8.813568,17.329985
-21.89559,-77.10437,-14.542467,-4.330089
9.014253,25.44913,9.308725,16.002205
11.93396,34.634346,12.149693,18.021694
10.257113,29.266798,10.069565,14.060471
10.6091,29.864027,9.892056,12.982263
