"idx_epoch : 0, loss_pre : 104.91728210449219, loss_aft : 101.82111358642578, dif : -3.0961685180664062"
62,2,-100,63,True
66,1,-0.01,75,False
77,3,-0.01,68,False
76,2,-0.01,77,False
72,0,-100,71,True
68,2,-0.01,69,False
69,0,-0.01,68,False
62,2,-100,63,True
85,3,-0.01,76,False
59,2,-100,60,True
70,1,-0.01,79,False
61,2,-0.01,62,False
79,2,-0.01,80,False
77,1,-100,86,True
85,3,-0.01,76,False
67,2,-0.01,68,False
67,0,-0.01,66,False
77,3,-0.01,68,False
61,1,-0.01,70,False
67,2,-0.01,68,False
76,3,-0.01,67,False
75,3,-0.01,66,False
75,2,-0.01,76,False
61,3,-0.01,52,False
76,3,-0.01,67,False
79,2,-0.01,80,False
68,3,-0.01,59,False
52,3,-0.01,43,False
23,2,-0.01,24,False
68,0,-0.01,67,False
65,1,-0.01,74,False
68,1,-0.01,77,False
71,3,-0.01,62,False
70,3,-0.01,61,False
85,3,-0.01,76,False
76,3,-0.01,67,False
67,0,-0.01,66,False
77,3,-0.01,68,False
85,3,-0.01,76,False
85,3,-0.01,76,False
80,2,-100,81,True
65,1,-0.01,74,False
67,2,-0.01,68,False
61,1,-0.01,70,False
70,1,-0.01,79,False
75,3,-0.01,66,False
77,3,-0.01,68,False
68,1,-0.01,77,False
50,3,-0.01,41,False
69,2,-0.01,70,False
68,1,-0.01,77,False
77,2,-0.01,78,False
68,2,-0.01,69,False
68,1,-0.01,77,False
85,3,-0.01,76,False
76,3,-0.01,67,False
59,3,-0.01,50,False
67,2,-0.01,68,False
62,2,-100,63,True
85,3,-0.01,76,False
79,3,-0.01,70,False
70,3,-0.01,61,False
78,3,-0.01,69,False
69,1,-0.01,78,False
85,3,-0.01,76,False
68,1,-0.01,77,False
70,3,-0.01,61,False
69,2,-0.01,70,False
76,0,-0.01,75,False
85,3,-0.01,76,False
76,1,-100,85,True
77,3,-0.01,68,False
68,1,-0.01,77,False
76,2,-0.01,77,False
61,2,-0.01,62,False
66,1,-0.01,75,False
68,2,-0.01,69,False
70,0,-0.01,69,False
85,3,-0.01,76,False
68,2,-0.01,69,False
77,3,-0.01,68,False
70,2,-0.01,71,False
85,3,-0.01,76,False
77,1,-100,86,True
61,1,-0.01,70,False
61,1,-0.01,70,False
79,2,-0.01,80,False
76,2,-0.01,77,False
85,3,-0.01,76,False
67,2,-0.01,68,False
69,2,-0.01,70,False
65,0,-0.01,64,False
78,2,-0.01,79,False
68,2,-0.01,69,False
64,0,-0.01,63,False
69,2,-0.01,70,False
68,1,-0.01,77,False
71,3,-0.01,62,False
76,3,-0.01,67,False
68,1,-0.01,77,False
71,3,-0.01,62,False
74,1,-100,83,True
65,2,-0.01,66,False
68,2,-0.01,69,False
85,3,-0.01,76,False
69,1,-0.01,78,False
79,2,-0.01,80,False
76,0,-0.01,75,False
28,0,150,27,True
37,3,-0.01,28,False
46,3,-0.01,37,False
55,3,-0.01,46,False
64,3,-0.01,55,False
55,1,-0.01,64,False
64,3,-0.01,55,False
73,3,-0.01,64,False
64,1,-0.01,73,False
63,2,-0.01,64,False
64,0,-0.01,63,False
63,2,-0.01,64,False
54,1,-0.01,63,False
