"idx_epoch : 0, loss_pre : 0.043040432035923004, loss_aft : 0.06508886814117432, dif : 0.022048436105251312"
69,0,0,68,False
69,0,0,68,False
69,3,-10,60,True
67,2,0,68,False
73,3,0,64,False
73,3,0,64,False
63,3,0,54,False
77,0,0,76,False
69,0,0,68,False
77,3,0,68,False
69,3,-10,60,True
77,0,0,76,False
69,0,0,68,False
76,0,0,75,False
63,3,0,54,False
76,3,0,67,False
76,2,0,77,False
73,3,0,64,False
64,1,0,73,False
73,3,0,64,False
64,1,0,73,False
68,2,0,69,False
65,0,0,64,False
63,3,0,54,False
64,1,0,73,False
64,1,0,73,False
73,3,0,64,False
52,1,0,61,False
77,0,0,76,False
67,2,0,68,False
77,3,0,68,False
67,3,-10,58,True
68,2,0,69,False
68,2,0,69,False
61,3,0,52,False
64,1,0,73,False
69,0,0,68,False
77,0,0,76,False
64,1,0,73,False
76,3,0,67,False
67,2,0,68,False
54,1,0,63,False
76,2,0,77,False
54,1,0,63,False
65,0,0,64,False
68,3,0,59,False
24,2,0,25,False
64,0,0,63,False
69,0,0,68,False
67,2,0,68,False
67,2,0,68,False
69,0,0,68,False
76,2,0,77,False
76,0,0,75,False
77,0,0,76,False
76,2,0,77,False
37,1,0,46,False
61,3,0,52,False
52,1,0,61,False
63,3,0,54,False
73,3,0,64,False
69,0,0,68,False
69,0,0,68,False
65,2,0,66,False
68,0,0,67,False
63,3,0,54,False
64,1,0,73,False
52,1,0,61,False
68,2,0,69,False
64,2,0,65,False
85,3,0,76,False
77,0,0,76,False
85,3,0,76,False
76,2,0,77,False
73,3,0,64,False
68,1,0,77,False
76,0,0,75,False
69,2,0,70,False
75,0,0,74,False
76,2,0,77,False
64,1,0,73,False
76,2,0,77,False
64,1,0,73,False
68,2,0,69,False
63,3,0,54,False
68,2,0,69,False
64,1,0,73,False
77,3,0,68,False
69,0,0,68,False
75,0,0,74,False
64,1,0,73,False
76,2,0,77,False
68,2,0,69,False
68,2,0,69,False
68,2,0,69,False
76,2,0,77,False
69,0,0,68,False
67,2,0,68,False
52,1,0,61,False
69,3,-10,60,True
64,1,0,73,False
68,2,0,69,False
69,0,0,68,False
78,3,0,69,False
28,0,10,27,True
73,3,0,64,False
76,2,0,77,False
76,2,0,77,False
77,0,0,76,False
69,0,0,68,False
77,0,0,76,False
68,2,0,69,False
21,1,0,30,False
68,2,0,69,False
76,2,0,77,False
69,0,0,68,False
68,2,0,69,False
76,2,0,77,False
69,0,0,68,False
69,0,0,68,False
54,1,0,63,False
69,0,0,68,False
69,0,0,68,False
64,1,0,73,False
77,0,0,76,False
76,2,0,77,False
68,3,0,59,False
64,1,0,73,False

"idx_epoch : 1, loss_pre : 0.09056484699249268, loss_aft : 0.12014740705490112, dif : 0.029582560062408447"
69,3,-10,60,True
65,0,0,64,False
70,3,0,61,False
76,0,0,75,False
73,3,0,64,False
63,2,0,64,False
68,0,0,67,False
63,3,0,54,False
69,0,0,68,False
76,2,0,77,False
78,0,0,77,False
85,3,0,76,False
85,3,0,76,False
69,0,0,68,False
73,3,0,64,False
77,3,0,68,False
65,0,0,64,False
68,2,0,69,False
69,0,0,68,False
52,1,0,61,False
76,2,0,77,False
68,0,0,67,False
59,1,0,68,False
76,0,0,75,False
85,3,0,76,False
76,2,0,77,False
54,1,0,63,False
77,0,0,76,False
37,1,0,46,False
52,3,0,43,False
69,0,0,68,False
54,0,-10,53,True
76,2,0,77,False
69,0,0,68,False
69,0,0,68,False
73,3,0,64,False
68,2,0,69,False
46,3,0,37,False
76,1,-10,85,True
68,1,0,77,False
73,3,0,64,False
73,3,0,64,False
63,3,0,54,False
67,2,0,68,False
68,2,0,69,False
69,3,-10,60,True
67,2,0,68,False
68,3,0,59,False
77,0,0,76,False
61,3,0,52,False
73,3,0,64,False
61,3,0,52,False
77,3,0,68,False
54,1,0,63,False
54,1,0,63,False
72,3,0,63,False
78,3,0,69,False
61,3,0,52,False
69,0,0,68,False
68,2,0,69,False
70,0,0,69,False
54,1,0,63,False
21,1,0,30,False
68,0,0,67,False
