"loss_pre : 5.96138858795166, loss_aft : 0.014926161617040634, dif : -5.9464624263346195"
-0.6872687,-0.13873284,-0.5943136,0.064951524
-0.55593073,-0.14518003,-0.7545317,-0.098810986
-0.50476986,-0.2156384,-0.48618808,0.15024112
-0.7780984,-0.15518637,-0.43250895,0.0006828839
-0.61709404,-0.09009163,-0.4604775,0.13941702
-0.7552347,-0.09123419,-0.55003184,0.104142234
-0.74361485,-0.16074938,-0.73006755,-0.01122329
-0.62592244,-0.21473509,-0.654934,-0.007208484
-0.5090018,-0.103272945,-0.4314505,0.07531323
-0.5696693,-0.038748488,-0.67340374,0.023339316
-0.71284586,-0.17425627,-0.56355333,0.13040541
-0.47796044,-0.17622228,-0.5077186,0.020606102
-0.78416914,-2.097063,-3.7626166,-0.7844127
-1.4572077,2.520748,0.15458626,-8.410649
2.5084178,-0.5918392,1.4646113,-8.663177
-1.0718908,-1.1009395,1.0103785,-9.159285
0.4743716,-10.195352,1.9793471,-0.56016946
-1.9375902,3.0299652,-0.004216194,-8.800442
-0.6821213,-0.09784715,-0.7583407,-0.0027373265
-0.68655026,0.054111063,-0.62860215,0.050867565
-0.53079844,-0.030756043,-0.66322315,-0.026222862
-1.171733,10.110968,-3.0173903,0.8839273
-0.2480134,2.2194595,-5.272874,-5.830975
-0.74467385,4.388643,-0.81536126,0.93380255
-0.2450419,-10.786775,1.5077705,0.68828994
-0.88815963,-0.57302785,-6.8744497,3.8537476
-0.62791485,-0.13486412,-0.6658433,0.012955192
-0.66427356,-0.104800574,-0.47175777,0.12120222
-7.9291806,-1.9261489,-9.292839,0.14429945
-0.5731656,0.010891369,-0.5994413,-0.02489001
0.043064475,-2.7660797,-2.0736833,-2.1915014
-0.4528384,-0.050355233,-0.4765945,-0.027727384
-6.7160854,0.30442053,-8.209468,0.28606227
-0.8779059,-0.08104786,-0.64906573,0.24156988
0.40051386,-0.0975763,2.1368015,3.6354005
-0.6130649,-0.12127221,-0.43818817,0.016281877
-0.748436,-0.20939362,-0.5392888,0.10167185
-1.0407869,-1.393245,-8.718514,-2.3207626
-0.73524404,-0.3295858,-0.5963833,0.22498752
-10.817183,0.37491724,-9.799342,-2.8492668
-0.64551187,-0.09809962,-0.51865333,-0.070419945
-11.29399,-1.1596563,-10.161004,0.87211585
-0.7017297,0.072248235,-0.70445484,0.088580966
-9.786721,-1.1572182,-8.348065,1.53683
-0.601457,-0.1466259,-0.5314176,-0.15896668
-0.81405485,0.031975433,-0.6118117,0.09225148
-9.580924,-0.8037849,-8.416962,2.347611
-0.5619372,-0.090477124,-0.59218204,0.044327036
-9.97568,-0.6326928,-9.63442,0.9793421
-0.5673608,-0.1691596,-0.6814125,0.062041402
-7.3459125,0.11061177,-9.937602,0.7017096
-0.6083121,-0.12834914,-0.7372953,-0.08906209
-2.1267786,2.5117137,0.231773,3.511808
-0.6524457,-0.09253809,-0.63068503,0.010278367
-9.263064,0.35378188,-2.2280092,-8.722218
0.53301597,0.7512473,-9.443314,2.153572
-0.37093163,-0.26540437,-0.46402106,0.18719749
-8.060894,1.0133283,-10.026586,0.10337993
-0.66982883,0.000116741285,-0.6490718,0.11158602
-9.490693,0.8412607,-10.247727,-0.51200527
-0.5422568,-0.14743675,-0.58329564,0.07025529
-11.375884,1.0828795,0.6549547,1.5092134
-1.127876,0.21221009,-9.828031,-9.363909
-8.93389,1.2476877,0.8887839,0.78045195
-1.7269989,0.6334524,0.73981655,-0.14730594
0.6553824,1.1310196,0.9066373,-9.769187
0.13269162,0.5487091,0.9866962,0.15716833
0.8893567,0.8625485,0.36508143,-9.412978
0.7974156,0.30004793,0.5877294,-0.24537139
0.15346253,1.2421646,1.7339048,-9.684974
0.9356663,1.0540894,1.0470568,0.08041053
-5.5206175,4.09391,-9.820315,-0.14793892
-7.9238544,-8.812792,0.3742717,0.4863993
0.6479743,-9.966691,1.1303654,0.6604814
0.78486073,-9.932589,0.5071677,0.07822403
1.0324349,-9.965668,0.94560695,0.8905654
0.43045318,-9.941981,0.43381456,0.9324655
0.8401387,-9.970954,1.5880543,0.55778056
0.27867445,-9.864861,1.5481403,0.44953135
1.4154719,-9.94668,4.1659403,1.1391104
1.4704568,-9.915675,-9.84734,-0.36614326
-0.5556453,-0.063296966,-0.37363973,-0.027091194
-0.8122174,-0.012082975,-0.58448297,-0.094657436
-0.7013364,-0.08370891,-0.5002202,0.07767247
-0.7299765,-0.07146349,-0.50764894,0.14827114
1.7693553,0.82394534,1.6581413,0.88247716
-0.7479531,-0.15939155,-0.58950734,0.09628549
-0.56116956,-0.016835323,-0.47186232,0.14293301
-0.7168039,-0.13243867,-0.49766093,-0.004608077
-0.58919054,-0.086076625,-0.47445062,0.062350355
